"","k","fsil.euclidean","fsil.manhattan","fsil.minkowski","fsil.correlation"
"1",2,0.415726553386995,0.475891297876556,0.37780506032046,0.140210499513046
"2",3,0.275588048307578,0.338335828432892,0.239650739592022,0.0636781812560484
"3",4,0.268266057706091,0.327764448659113,0.242918312423519,0.143954319011542
"4",5,0.271495333987475,0.322954048070851,0.238557693812902,0.168093546362618
"5",6,0.270794264454162,0.320691791497004,0.232162130171049,0.238244338440284
"6",7,0.258794840413153,0.317794926951682,0.220959200515829,0.248688069479637
"7",8,0.256436042164003,0.320792510760592,0.216996359059243,0.29275138290658
"8",9,0.251663223939869,0.310792179446331,0.214783003364568,0.282096658731199
"9",10,0.250812459528249,0.314704756636134,0.214989389694011,0.317806212443032
"10",11,0.2501459313344,0.311075744761317,0.211294341891081,0.325596153824695
"11",12,0.24828038867691,0.313758727751132,0.210566865619819,0.331119155318443
"12",13,0.248128036148045,0.313331747799878,0.207770902791382,0.341489494653066
"13",14,0.24713865501339,0.3122712481823,0.208759998422291,0.331589517497323
"14",15,0.243330251853219,0.311440627974801,0.207746420176625,0.340837780438011
"15",16,0.242282180703632,0.315756675488035,0.204278787572379,0.342964285367607
"16",17,0.240957377882453,0.315253964021955,0.20286433487718,0.340636549360792
"17",18,0.241048558578738,0.307080678092882,0.205547268448313,0.358863959996136
"18",19,0.236820259349078,0.308542377568991,0.200913943738655,0.352883096493723
"19",20,0.238498707533244,0.310960605507889,0.198201454408442,0.337993768747712
"20",21,0.239592302648566,0.305500485411006,0.199714430491158,0.331697159986466
"21",22,0.235194586352145,0.305309264323398,0.198177126272799,0.346141299191121
"22",23,0.235961652452705,0.302843422911492,0.201471922489178,0.364620195598054
"23",24,0.235046609191365,0.303314210509694,0.197310462902917,0.360058133673546
"24",25,0.235215989806606,0.301277852280232,0.196418968136918,0.346671013127507
"25",26,0.231740846803711,0.301970542415199,0.197404220566853,0.306948093997581
"26",27,0.229021937385821,0.297968149473009,0.195381740045879,0.350576357637053
"27",28,0.227979517275507,0.300971820285881,0.195743622678276,0.369999945300371
"28",29,0.230201837927675,0.301554170645684,0.194989352109376,0.36702067048351
"29",30,0.2274131777158,0.294376113775601,0.193002158450213,0.359265533562064
"30",31,0.227394283144522,0.295133478360784,0.192636627028228,0.234163593173008
"31",32,0.224654295612946,0.299678935102885,0.191287606382681,0.284837853314372
"32",33,0.226303058708396,0.294149371468179,0.192444975266795,0.349313943912641
"33",34,0.224300969732222,0.290597427242047,0.192549768311357,0.251603464845537
"34",35,0.222716006305276,0.295949363825496,0.186540660424837,0.336274467061439
"35",36,0.220320690776018,0.290721616386552,0.187935406766073,0.234477264604968
"36",37,0.219524914237569,0.295248524275016,0.19012584742848,0.322256086098969
"37",38,0.223955321314825,0.289863714800119,0.188439874584068,0.244320236045835
"38",39,0.218736588539929,0.288635489227852,0.186847723581134,0.23822148522537
"39",40,0.219385343610241,0.288824924300034,0.186390124090836,0.338368302821125
